dose,weeks,loss_kg,sd_loss_kg,n,baseline_weight_kg,body_weight_kg,se_kg,pixel_y_mean,pixel_y_top,pixel_y_bottom,source,source_url,method,n_assumption
RETA 1 mg,1,0.0000,4.9618,60,106.3968,106.3968,0.6406,202.0,190.0,214.0,NEJM retatrutide phase 2 figure,https://www.nejm.org/doi/full/10.1056/NEJMoa2301972,digitized from axis-calibrated figure pixels,total 300 randomized; ratio 2:1:1:1:1:2:2; placebo excluded
RETA 1 mg,4,1.3879,4.9618,60,106.3968,105.0089,0.6406,228.0,216.0,240.0,NEJM retatrutide phase 2 figure,https://www.nejm.org/doi/full/10.1056/NEJMoa2301972,digitized from axis-calibrated figure pixels,total 300 randomized; ratio 2:1:1:1:1:2:2; placebo excluded
RETA 1 mg,8,3.0961,4.9618,60,106.3968,103.3007,0.6406,260.0,248.0,272.0,NEJM retatrutide phase 2 figure,https://www.nejm.org/doi/full/10.1056/NEJMoa2301972,digitized from axis-calibrated figure pixels,total 300 randomized; ratio 2:1:1:1:1:2:2; placebo excluded
RETA 1 mg,12,4.0569,4.9618,60,106.3968,102.3399,0.6406,278.0,266.0,290.0,NEJM retatrutide phase 2 figure,https://www.nejm.org/doi/full/10.1056/NEJMoa2301972,digitized from axis-calibrated figure pixels,total 300 randomized; ratio 2:1:1:1:1:2:2; placebo excluded
RETA 1 mg,16,4.8577,4.9618,60,106.3968,101.5391,0.6406,293.0,281.0,305.0,NEJM retatrutide phase 2 figure,https://www.nejm.org/doi/full/10.1056/NEJMoa2301972,digitized from axis-calibrated figure pixels,total 300 randomized; ratio 2:1:1:1:1:2:2; placebo excluded
RETA 1 mg,20,5.3915,4.9618,60,106.3968,101.0053,0.6406,303.0,291.0,315.0,NEJM retatrutide phase 2 figure,https://www.nejm.org/doi/full/10.1056/NEJMoa2301972,digitized from axis-calibrated figure pixels,total 300 randomized; ratio 2:1:1:1:1:2:2; placebo excluded
RETA 1 mg,24,6.3523,4.9618,60,106.3968,100.0445,0.6406,321.0,309.0,333.0,NEJM retatrutide phase 2 figure,https://www.nejm.org/doi/full/10.1056/NEJMoa2301972,digitized from axis-calibrated figure pixels,total 300 randomized; ratio 2:1:1:1:1:2:2; placebo excluded
RETA 1 mg,36,7.0996,6.2023,60,106.3968,99.2972,0.8007,335.0,320.0,350.0,NEJM retatrutide phase 2 figure,https://www.nejm.org/doi/full/10.1056/NEJMoa2301972,digitized from axis-calibrated figure pixels,total 300 randomized; ratio 2:1:1:1:1:2:2; placebo excluded
RETA 1 mg,48,7.9968,8.6832,60,106.3968,98.4000,1.1210,351.8,330.8,372.8,NEJM retatrutide phase 2 figure,https://www.nejm.org/doi/full/10.1056/NEJMoa2301972,digitized from axis-calibrated figure pixels,total 300 randomized; ratio 2:1:1:1:1:2:2; placebo excluded
RETA 4 mg [ID 2 mg],1,0.0000,3.5085,30,106.1299,106.1299,0.6406,207.0,195.0,219.0,NEJM retatrutide phase 2 figure,https://www.nejm.org/doi/full/10.1056/NEJMoa2301972,digitized from axis-calibrated figure pixels,total 300 randomized; ratio 2:1:1:1:1:2:2; placebo excluded
RETA 4 mg [ID 2 mg],4,1.9751,3.5085,30,106.1299,104.1548,0.6406,244.0,232.0,256.0,NEJM retatrutide phase 2 figure,https://www.nejm.org/doi/full/10.1056/NEJMoa2301972,digitized from axis-calibrated figure pixels,total 300 randomized; ratio 2:1:1:1:1:2:2; placebo excluded
