dose,weeks,loss_kg,sd_loss_kg,n,baseline_weight_kg,body_weight_kg,se_kg,pixel_y_mean,pixel_y_top,pixel_y_bottom,source,method
5 mg,0,0.0000,47.0886,623,102.8800,102.8800,1.8866,284.5,249.0,316.0,SURMOUNT-1 body weight figure,digitized from axis-calibrated figure pixels
5 mg,4,1.3273,30.9239,623,102.8800,101.5527,1.2389,305.5,284.0,328.0,SURMOUNT-1 body weight figure,digitized from axis-calibrated figure pixels
5 mg,8,4.2275,25.3013,623,102.8800,98.6525,1.0137,357.0,343.0,379.0,SURMOUNT-1 body weight figure,digitized from axis-calibrated figure pixels
5 mg,12,6.2267,33.0323,623,102.8800,96.6533,1.3234,392.5,379.0,426.0,SURMOUNT-1 body weight figure,digitized from axis-calibrated figure pixels
5 mg,16,7.5220,34.4379,623,102.8800,95.3580,1.3797,415.5,408.0,457.0,SURMOUNT-1 body weight figure,digitized from axis-calibrated figure pixels
5 mg,20,8.7046,36.5464,623,102.8800,94.1754,1.4642,436.5,427.0,479.0,SURMOUNT-1 body weight figure,digitized from axis-calibrated figure pixels
5 mg,24,9.9154,22.4901,623,102.8800,92.9646,0.9010,458.0,442.0,474.0,SURMOUNT-1 body weight figure,digitized from axis-calibrated figure pixels
5 mg,36,11.9709,17.5704,623,102.8800,90.9091,0.7039,494.5,483.0,508.0,SURMOUNT-1 body weight figure,digitized from axis-calibrated figure pixels
5 mg,48,13.2380,18.9760,623,102.8800,89.6420,0.7603,517.0,504.0,531.0,SURMOUNT-1 body weight figure,digitized from axis-calibrated figure pixels
5 mg,60,14.2517,23.1929,623,102.8800,88.6283,0.9292,535.0,518.0,551.0,SURMOUNT-1 body weight figure,digitized from axis-calibrated figure pixels
5 mg,72,14.3362,24.5985,623,102.8800,88.5438,0.9855,536.5,519.0,554.0,SURMOUNT-1 body weight figure,digitized from axis-calibrated figure pixels
10 mg,0,0.0000,48.7272,629,105.8400,105.8400,1.9429,236.5,197.0,266.0,SURMOUNT-1 body weight figure,digitized from axis-calibrated figure pixels
10 mg,4,3.4707,23.3043,629,105.8400,102.3693,0.9292,291.0,281.0,314.0,SURMOUNT-1 body weight figure,digitized from axis-calibrated figure pixels
10 mg,8,6.7933,25.4229,629,105.8400,99.0467,1.0137,350.0,344.0,380.0,SURMOUNT-1 body weight figure,digitized from axis-calibrated figure pixels
10 mg,12,10.2004,23.3043,629,105.8400,95.6396,0.9292,410.5,390.0,423.0,SURMOUNT-1 body weight figure,digitized from axis-calibrated figure pixels
10 mg,16,12.5938,20.4795,629,105.8400,93.2462,0.8166,453.0,433.0,462.0,SURMOUNT-1 body weight figure,digitized from axis-calibrated figure pixels
10 mg,20,14.3396,16.2424,629,105.8400,91.5004,0.6476,484.0,471.0,494.0,SURMOUNT-1 body weight figure,digitized from axis-calibrated figure pixels
10 mg,24,16.0009,17.6548,629,105.8400,89.8391,0.7039,513.5,504.0,529.0,SURMOUNT-1 body weight figure,digitized from axis-calibrated figure pixels
10 mg,36,19.2390,28.2476,629,105.8400,86.6010,1.1263,571.0,560.0,600.0,SURMOUNT-1 body weight figure,digitized from axis-calibrated figure pixels
10 mg,48,21.2382,35.3096,629,105.8400,84.6018,1.4079,606.5,594.0,644.0,SURMOUNT-1 body weight figure,digitized from axis-calibrated figure pixels
10 mg,60,22.7306,37.4281,629,105.8400,83.1094,1.4924,633.0,619.0,672.0,SURMOUNT-1 body weight figure,digitized from axis-calibrated figure pixels
10 mg,72,23.1530,38.8405,629,105.8400,82.6870,1.5487,640.5,627.0,682.0,SURMOUNT-1 body weight figure,digitized from axis-calibrated figure pixels
15 mg,0,0.0000,49.2759,625,105.5900,105.5900,1.9710,236.5,198.0,268.0,SURMOUNT-1 body weight figure,digitized from axis-calibrated figure pixels
15 mg,4,3.2207,23.2301,625,105.5900,102.3693,0.9292,291.0,281.0,314.0,SURMOUNT-1 body weight figure,digitized from axis-calibrated figure pixels
15 mg,8,7.5007,18.3025,625,105.5900,98.0893,0.7321,367.0,347.0,373.0,SURMOUNT-1 body weight figure,digitized from axis-calibrated figure pixels
15 mg,12,9.5844,21.1183,625,105.5900,96.0056,0.8447,404.0,389.0,419.0,SURMOUNT-1 body weight figure,digitized from axis-calibrated figure pixels
15 mg,16,11.6680,18.3025,625,105.5900,93.9220,0.7321,441.0,432.0,458.0,SURMOUNT-1 body weight figure,digitized from axis-calibrated figure pixels
15 mg,20,13.5828,22.5261,625,105.5900,92.0072,0.9010,475.0,459.0,491.0,SURMOUNT-1 body weight figure,digitized from axis-calibrated figure pixels
15 mg,24,16.3985,22.5261,625,105.5900,89.1915,0.9010,525.0,509.0,541.0,SURMOUNT-1 body weight figure,digitized from axis-calibrated figure pixels
15 mg,36,20.0309,21.1183,625,105.5900,85.5591,0.8447,589.5,570.0,600.0,SURMOUNT-1 body weight figure,digitized from axis-calibrated figure pixels
15 mg,48,22.3680,34.4932,625,105.5900,83.2220,1.3797,631.0,595.0,644.0,SURMOUNT-1 body weight figure,digitized from axis-calibrated figure pixels
15 mg,60,23.9166,38.0129,625,105.5900,81.6734,1.5205,658.5,620.0,674.0,SURMOUNT-1 body weight figure,digitized from axis-calibrated figure pixels
15 mg,72,24.4516,37.3089,625,105.5900,81.1384,1.4924,668.0,631.0,684.0,SURMOUNT-1 body weight figure,digitized from axis-calibrated figure pixels
